market,name,status,http_code,content_type,bytes,path,sha256,url
ie,IE European Communities (Consumer Protection) Regulations 2003,ok,200,application/pdf,492439,ie/IE_European_Communities_Consumer_Protection_Regulations_2003.pdf,77b892a05c50f6ceada67e202aedb9b390b753c9c2c2e000648d0336827cf107,https://www.irishstatutebook.ie/eli/2003/act/44/enacted/en/pdf
ie,IE Health (Preservation and Protection) Act 2020,ok,200,application/pdf,389866,ie/IE_Health_Preservation_and_Protection_Act_2020.pdf,5ed78dd63a6bf7d695b2b441de9f81c53096038d0df1eb4a780d0d7bdc9df3ad,https://www.irishstatutebook.ie/eli/2020/act/30/enacted/en/pdf
ie,IE Irish Statute Book,ok,200,text/html,25511,ie/IE_Irish_Statute_Book.html,08d3d51cc939af936ff4f2b87f3b3da4447580b89fd7554a8435e126429a94fe,https://www.irishstatutebook.ie/
ie,IE Product Safety Regulations,ok,200,application/pdf,321028,ie/IE_Product_Safety_Regulations.pdf,fce4e5dd7d20a4abe8265b1812d1fd95741fdf5f767166d03d91c64636fc45d4,https://www.irishstatutebook.ie/eli/2007/act/12/enacted/en/pdf
ie,IE Product Safety standards (NSAI),ok,200,text/html,148827,ie/IE_Product_Safety_standards_NSAI.html,faf1a678a62302cc2ee9940c9536500e8d66443256d6e1c07cf0fbcdd3e337d2,https://www.nsai.ie/
ie,"IE Safety, Health and Welfare at Work Act 2005",ok,200,application/pdf,330013,ie/IE_Safety_Health_and_Welfare_at_Work_Act_2005.pdf,2f9888ab140229a2621e84225371ac0f4f14d1206d766782a947bc6d010224fe,https://www.irishstatutebook.ie/eli/2005/act/22/enacted/en/pdf
ie,IE 立法目录 (electronic Irish Statute Book),http_404,404,,0,,,https://www.irishstatutebook.ie/eli/
ie,IE 竞争与消费者保护委员会 CCPC,ok,200,text/html,1119997,ie/IE_竞争与消费者保护委员会_CCPC.html,27211590f44d8460ece510f2e07a72aea1ceb1199f9a27a8353cbed5f514c86c,https://www.ccpc.ie/
il,IL 以色列政府法律门户,http_403,403,,0,,,https://www.gov.il/
in,IN BIS CRS 强制注册计划 (bis.gov.in),ok,200,text/html,518308,in/IN_BIS_CRS_强制注册计划_bis.gov.in.html,a01ebb459a4e352de9cb817cd64abf61411789e438ca0e3b2790befdc2a5057f,https://www.bis.gov.in/index.php/standards-changes-orders/
in,IN BIS 强制注册计划公告,ok,200,text/html,518308,in/IN_BIS_强制注册计划公告.html,4a1f02af16236dc56f8b77d2dff93b4a85152583bdeccece93c822cbda342094,https://www.bis.gov.in/index.php/standards-changes-orders/
in,IN Consumer Protection Act 2019 (indiacode),http_404,404,,0,,,https://www.indiacode.nic.in/handle/123456789/15256
in,IN DPDP Act 2023 (meity),ok,200,text/html,3285,in/IN_DPDP_Act_2023_meity.html,0edc84ff4c2e227bb0cb1fe31940286a802b424fe240f32c9834d22ac7f4ba80,https://www.meity.gov.in/data-protection-framework
in,IN Legal Metrology 包装与标签 (legalmetrology.gov.in),error,0,,0,,,https://www.legalmetrology.gov.in/
intl,ETSI EN 300 220 短距离设备,ok,200,application/pdf,216247,intl/ETSI_EN_300_220_短距离设备.pdf,df54e88af3879f143d1d22cfbe3cc90657b0fecd85c2afb054f1ba79c67ec2e3,https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf
